Road_Name,Road_Type,County_Name
Ol Donyo Sabuk Park Road,tertiary,Machakos
14 Falls Road,service,Machakos
14 Falls Road,service,Kiambu
Nambale Path D,service,Busia
Sekero Road,tertiary,Busia
Nambale Path,service,Busia
Kajei Road Block Road,unclassified,Busia
Aila Road 2,unclassified,Siaya
Nasewa Road,path,Busia
Munyanja C,unclassified,Busia
Lwanyange Path,path,Busia
Esirisia Connector,service,Busia
Matuiku Estate Toute B,residential,Nakuru
Angorom Path 3,tertiary,Busia
Apokor Main Road,unclassified,Busia
Apokor Path 3,unclassified,Busia
Apokor Path 4,unclassified,Busia
Summit Road,unclassified,Machakos
Summit Road,unclassified,Machakos
Alungoli Connector,path,Busia
Sekero Connections,unclassified,Busia
Gongo Road 1,unclassified,Siaya
Munyanja E,unclassified,Busia
Gongo Main,unclassified,Siaya
Kajei Road R1,unclassified,Busia
Aboloi Path 1A,service,Busia
Mimosa Road,residential,Nairobi
Aboloi Village Path 1B,service,Busia
Msingu Path,residential,Siaya
Nambale Path C,service,Busia
Stepping Stones Path,path,Siaya
Longisa - Kipreres Road,tertiary,Bomet
Aboloi Village Path 1E,service,Busia
Nasewa Sub Road,unclassified,Busia
Nasewa Path,unclassified,Busia
Sekero Road AB,unclassified,Busia
Tiribe Road,tertiary,Kwale
Manyala Road,residential,Siaya
Aboloi Village Path 1F,service,Busia
Kiboko Ford Road,unclassified,Kilifi
Kirichwa Road,residential,Nairobi
Nambale Route,service,Busia
Githima Road,residential,Kiambu
Manyala Joining Road,residential,Siaya
Aboke - Uyundo Road,unclassified,Siaya
Wang'tong Main,unclassified,Siaya
Alungoli Pathway,residential,Busia
Ng'amba Kanyayo Road.,unclassified,Kiambu
Wanjonjo Road,residential,Kiambu
Jua Kali Path,path,Siaya
Mundika-Nambale Road,unclassified,Busia
Nasewa Sub Path,path,Busia
Uriri Main Road,unclassified,Siaya
Road,residential,Nyeri
Old Town Road,unclassified,Siaya
Old Town Road,unclassified,Kakamega
Aungoli Road,unclassified,Busia
Nambale Connection,service,Busia
Kibichiko Road,residential,Kiambu
Cottingham Park,service,Nairobi
Arimi-Saptet-Matuiku Road,unclassified,Nakuru
Weruga Road,tertiary,Taita Taveta
