Road_Name,Road_Type,County_Name
Ogaralle-Dunto Road,unclassified,Wajir
nice footpath,footway,Kisii
Kitale-Suam Road,trunk,Trans Nzoia
#ms-DevSupportWest-Mapping,path,Wajir
#ms-DevSupportWest-Mapping,path,Wajir
#ms-DevSupportWest-Mapping,path,Wajir
#ms-DevSupportWest-Mapping,path,Wajir
#ms-DevSupportWest-Mapping,path,Wajir
Jodongo Yuko A,unclassified,Siaya
Kimalel-Kapkun_Bekibon Road,tertiary,Baringo
Buna-Chipder Road,unclassified,Wajir
Kisian - Bondo,trunk,Kisumu
Kisian - Bondo,trunk,Kisumu
Kisian - Bondo,trunk,Kisumu
Nyati Road,residential,Mombasa
Voi Park HQ. - Lugards,unclassified,Taita Taveta
Mikwa-Ndathani Road,tertiary,Kitui
Ndathani-Kimu Road,tertiary,Kitui
Ndathani-Kimu Road,tertiary,Kitui
Nyakuru - Ogango Rd,tertiary,Migori
Oleander Road,residential,Mombasa
Tseikuru-Mwingi Road,secondary,Kitui
Lwak Main,unclassified,Siaya
Korendile-Milsadid Road,unclassified,Wajir
Pepo Lane,residential,Nairobi
Kianjagi Karai Road,residential,Kiambu
Wangu Avenue,tertiary,Nairobi
Njathaini Road,tertiary,Kiambu
Lwak 3,unclassified,Siaya
Community Road,residential,Machakos
Ndenderu Roundabout,trunk,Kiambu
Kisumu-Busia Road,trunk,Busia
Road To St. Mary's High School,unclassified,Siaya
Nyamninia Road,unclassified,Siaya
Nyamninia Road,unclassified,Kakamega
Road To St. Mary's High School,residential,Siaya
Road To DO'S Office,residential,Siaya
Nairobi - Nakuru Road,trunk,Nakuru
Nairobi-Nakuru Road,trunk,Nakuru
Mwangi Riika Crescent,residential,Nairobi
Katse-Katuka Road,tertiary,Kitui
Kathiani-Mughuusi,tertiary,Kitui
Nanyuki - Marura Road,tertiary,Nyeri
Nanyuki - Marura Road,tertiary,Laikipia
Kamathitu-Itinda Road,tertiary,Kitui
A1 Lodwar - Nakalei - A4 South Horr Road,secondary,Turkana
Kanzinwa-Mbarani Road,tertiary,Kitui
Katse-Kamathitu-Musoosya Road,tertiary,Kitui
Nguuku-Ng'ombeni-Ngungani Road,tertiary,Kitui
Ngungani-Kiambere Road,tertiary,Kitui
Kasioni-Thua Road,tertiary,Kitui
Kiambere Road,tertiary,Embu
Kiambere-Kalatine Road,tertiary,Kitui
Kalatine-Mikauni- kamuw'ongo Road,tertiary,Kitui
Kalatine-Mikauni- kamuw'ongo Road,tertiary,Kitui
Kalatine-Mikauni-Katuuni- kamuw'ongo Road,tertiary,Kitui
Musosya-Nguku-Kamuthumulani-C93 Road,tertiary,Kitui
Kiambere -Kalatine Road,tertiary,Kitui
Kalatine-Mikauni _Kamuw'ongo Road,tertiary,Kitui
Mt. Suswa Road,track,Kajiado
Bypass Highway,primary,Kisumu
Bypass Highway,primary,Kisumu
Bypass Highway,primary,Kisumu
Kiambere Road,tertiary,Kitui
Kiambere Road,tertiary,Embu
Kiambere Road,tertiary,Kitui
Kiambere Road,tertiary,Kitui
C93-Kisole-Mwambui-Tyaa Kamuthale Road,tertiary,Kitui
Katithini-Muthwani Road,tertiary,Kitui
Muthwani-Masukanioni-Ngungi-Katuuni-Kamuw'ongo Road,tertiary,Kitui
Katuluni-Ikuusya Road,tertiary,Kitui
Ojijo Oteko Road,tertiary,Kisumu
Omolo Agar Road,secondary,Kisumu
Got Huma Road,tertiary,Kisumu
Got Huma Road,tertiary,Kisumu
Kayahweh Road,residential,Nairobi
Jesus Hill Trail,footway,Turkana
Nairobi Road,trunk,Nakuru
Nakuru-Eldoret Rd.,trunk,Nakuru
Nairobi Road,trunk,Nakuru
Major Jackson Muirithi Street,tertiary,Nairobi
Captain Mungai Street,tertiary,Nairobi
Nyamanzei-Kalamba Road,tertiary,Kitui
Outer Ring Road,secondary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,secondary,Nairobi
Outer Ring Road,secondary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,secondary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,secondary,Nairobi
Outer Ring Road,secondary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,secondary,Nairobi
Ring Road Kileleshwa,secondary,Nairobi
Mandera Road,residential,Nairobi
Eastern Bypass,primary,Nairobi
Airport South Road,primary,Nairobi
Airport South Road,primary_link,Nairobi
Eastern Bypass,primary,Nairobi
Eastern Bypass,primary,Nairobi
Eastern Bypass,primary,Kiambu
Eastern Bypass,primary,Kiambu
Eastern Bypass,primary,Nairobi
Eastern Bypass,primary,Kiambu
Eastern Bypass,primary,Kiambu
Eastern Bypass,primary,Kiambu
Eastern Bypass,primary,Nairobi
Eastern Bypass,primary,Kiambu
Kamiti Road,secondary,Nairobi
Ruiru-Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru-Kamiti Road,primary,Kiambu
Ruiru Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Outer Ring Road,primary,Nairobi
Eastern Bypass,primary,Nairobi
Kasarani Mwiki Road,secondary,Nairobi
Ruiru-Kamiti Road,primary,Kiambu
Ruiru-Kiambu Road,primary,Kiambu
Ruiru-Kamiti Road,primary,Kiambu
Ruiru-Kamiti Road,primary,Kiambu
Oloitokitok Road,secondary,Nairobi
Lang'ata Link Road,secondary,Nairobi
Lang'ata Link Road,secondary,Nairobi
Ruiru-Kamiti Road,primary,Kiambu
Ruiru-Kamiti Road,primary_link,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru-Kamiti Road,primary,Kiambu
2nd Avenue Eastleigh,tertiary,Nairobi
Ngong Road,secondary,Nairobi
Ngong Road,secondary,Nairobi
Ngong Road,secondary,Nairobi
Lower Kabete Road,secondary,Kiambu
Southern Bypass Expressway Entry,motorway_link,Nairobi
Ruiru-Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Moi North Lake Road,primary,Nakuru
Mweni Road,tertiary,Nairobi
Mombasa Road,trunk,Nairobi
Mombasa Road,trunk,Nairobi
Mombasa Road,trunk,Nairobi
Garakilo-Gurar Road,tertiary,Wajir
Gunana-Burmayo Road,tertiary,Wajir
Gunana-Burmayo Road,tertiary,Mandera
Gatoroni -C93 road,tertiary,Kitui
Korendile-Milsadid Road,unclassified,Wajir
Nthangani Road,tertiary,Kitui
Mukoma Road,residential,Nairobi
Ole Tianda Road,residential,Kajiado
Mughuusi-Masyungwa Road,tertiary,Kitui
Mivukoni-Mataka Road,tertiary,Kitui
Mulangoni-Masyungwa Road,tertiary,Kitui
Mulangoni-Masyungwa Road,tertiary,Kitui
Miramba Ikamba Junction-Kamayagi Road,tertiary,Kitui
Mwarangeni_Miramba Ikamba road,tertiary,Kitui
Kwa Vere Road,tertiary,Kitui
Ciatungu-Gatoroni-Kanzinwa-C93 Junction,tertiary,Kitui
Muhanda-Silula Road,residential,Siaya
Onyango Road,unclassified,Siaya
Arude Road,unclassified,Siaya
Mutumbu Centre Road,residential,Siaya
Sega Aboke Road,unclassified,Siaya
Got Nanga - Bar Ober Road.,tertiary,Siaya
Kyao kya Iriira Bridge,secondary,Kitui
Koma Rock Road,secondary,Nairobi
Juja Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Juja Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Juja Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Koma Rock Road,secondary,Nairobi
Juja Road,secondary,Nairobi
Homabay-Rongo,trunk,Migori
Matayos-Samia Road,tertiary,Busia
Lwanya -Funyula road,unclassified,Busia
Ligega - Bar Ober Road,unclassified,Siaya
Mango Road,unclassified,Siaya
Mango Road,unclassified,Busia
Nyayo Road,unclassified,Busia
Laare-Ndumuru Road,unclassified,Meru
Tseikuru _Usueni Road,secondary,Kitui
Kanyengya- Nthangani Road,tertiary,Kitui
Nyasa Road,tertiary,Nairobi
Jogoo Road,secondary,Nairobi
Doonholm Road,secondary,Nairobi
Savannah Road,secondary,Nairobi
Sega Bar Ober Road,unclassified,Siaya
Mango Road,residential,Busia
Jacaranda-Embakasi-Garrison Road,tertiary,Nairobi
Owimbi-Ndori Rd.,primary,Siaya
Owimbi-Ndori Rd.,primary,Siaya
Owimbi-Ndori Rd.,primary,Siaya
Owimbi-Ndori Rd.,primary,Siaya
Madiany-Kona Kawaka Rd.,tertiary,Siaya
Madiany-Kona Kawaka Rd.,tertiary,Siaya
Madiany-Kona Kawaka Rd.,tertiary,Siaya
Madiany-Kona Kawaka Rd.,tertiary,Siaya
Gilgil-Nyahururu Road,trunk,Nyandarua
Gilgil Town Road,trunk,Nakuru
James Gichuru Road,secondary,Nairobi
Ajuoga Road,tertiary,Nairobi
Nile Road,tertiary,Nairobi
Rabai Road,secondary,Nairobi
Rabai Road,secondary,Nairobi
Charles New Road,tertiary,Nairobi
Ajuoga Road,residential,Nairobi
Muratina Street,secondary,Nairobi
Muratina Street,secondary,Nairobi
2nd Avenue Eastleigh,tertiary,Nairobi
2nd Avenue Eastleigh,tertiary,Nairobi
Limuru-Maimahiu Rd.,trunk,Kiambu
Homabay-Rongo,trunk,Migori
Homabay-Rongo,trunk,Homa Bay
Ndigwa-Owimbi Rd.,tertiary,Siaya
Ndigwa-Owimbi Rd.,tertiary,Siaya
Ndigwa-Owimbi Rd.,tertiary,Siaya
Ndigwa-Owimbi Rd.,tertiary,Siaya
Ndigwa-Owimbi Rd.,tertiary,Siaya
Ndigwa-Owimbi Rd.,tertiary,Siaya
Ndigwa-Owimbi Rd.,tertiary,Siaya
Gilgil-Nyahururu Road,trunk,Laikipia
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Ndori-Ng'iya Rd.,primary,Siaya
Ongielo Road,primary,Siaya
Ongielo Road,primary,Siaya
Ndori-Ng'iya Rd.,primary,Siaya
Bondo-Liunda Beach Rd.,primary,Siaya
Bondo-Liunda Beach Rd.,primary,Siaya
Kipasi-Misori Rd.,primary,Siaya
Gilgil Town Road,trunk,Nakuru
Nairobi-Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Namanga Road,trunk,Kajiado
Nairobi-Namanga Road,trunk,Kajiado
Lwanda Kotieno-Bondo Rd.,trunk,Siaya
Kipasi-Misori Rd.,primary,Siaya
Homabay-Rongo,trunk,Homa Bay
Kipasi-Misori Rd.,primary,Siaya
Kipasi-Misori Rd.,primary,Siaya
Kipasi-Misori Rd.,primary,Siaya
Kitale-Suam Road,trunk,Trans Nzoia
Kitale-Suam Road,trunk,Trans Nzoia
Kitale-Suam Road,trunk,Trans Nzoia
Jesus Hill Trail,footway,Turkana
Way of the Cross,footway,Turkana
Kabuya Avenue,residential,Migori
Nyakuru - Dede Rd,tertiary,Migori
Taita Taveta Road,residential,Kiambu
4th North Avenue,residential,Kiambu
Busambuli Trail B,path,Kakamega
Kabuya Street,unclassified,Migori
Garissa Road,residential,Kiambu
3rd South Avenue,residential,Kiambu
4th South Avenue,residential,Kiambu
1st North Avenue,residential,Kiambu
2nd North Avenue,residential,Kiambu
1st South Avenue,residential,Kiambu
1st South Avenue,residential,Kiambu
2nd South Avenue,residential,Kiambu
3rd North Avenue,residential,Kiambu
6th South Avenue,residential,Kiambu
6th South Avenue,residential,Kiambu
6th South Avenue,residential,Kiambu
Kahawa Sukari Avenue,residential,Kiambu
1st South Avenue,residential,Kiambu
Buna-Chipder Road,unclassified,Wajir
5th South Avenue,residential,Kiambu
Murang'a Road,residential,Kiambu
Limuru Road,trunk,Kiambu
Naivasha Road,secondary,Nairobi
Nakuru - Sigor Road,primary,West Pokot
Nakuru - Sigor Road,primary,West Pokot
Nakuru - Sigor Road,primary,West Pokot
Nakuru - Sigor Road,primary,West Pokot
Lodwar - St.Kevins Secondary School Road,residential,Turkana
A1 Lodwar - Nakalei - A4 South Horr Road,secondary,Turkana
Argwings Kodhek Road,secondary,Nairobi
Argwings Kodhek Road,secondary,Nairobi
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,tertiary,Turkana
A1 Lokichokio - Lokitaung - Kibish Road,tertiary,Turkana
A1 Lokichokio - Lokitaung - Kibish Road,tertiary,Turkana
Lokitaung Lowerengak Road,unclassified,Turkana
Makutano - Kalem Road,tertiary,Turkana
Makutano - Kalem Road,tertiary,Turkana
A1 Lokichokio - Lokitaung - Kibish Road,tertiary,Turkana
Desai Road,secondary,Nairobi
Kayole Spine Road,secondary,Nairobi
Kayole Spine Road,secondary,Nairobi
Manyanja Road,secondary,Nairobi
State House Road,secondary,Nairobi
Dennis Pritt Road,secondary,Nairobi
State House Road,secondary,Nairobi
State House Road,secondary,Nairobi
State House Road,secondary,Nairobi
Outer Ring Road,primary,Nairobi
Nairobi Expressway Link,motorway_link,Nairobi
Airport North Road,secondary,Nairobi
Airport South Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Syokimau-Katani Road,residential,Machakos
Adadijole-Gurar Road,tertiary,Wajir
Kakuma - Lokangae Kaikor - Napak - Koyasa Road,tertiary,Turkana
Adadijole-Gurar Road,tertiary,Wajir
Lodwar Nadapal Road,secondary,Turkana
Turkwel Nadapal Road,secondary,Turkana
Turkwel Lorugum Road,secondary,Turkana
Saradidi 2,unclassified,Siaya
Turkwel Lorugum Road,secondary,Turkana
Korendile-Bute Road,tertiary,Wajir
Korendile-Bute Road,tertiary,Marsabit
Adadijole-Balatul Amin,tertiary,Wajir
Adadijole-Balatul Amin,tertiary,Wajir
Ogorji-Gurar Road,tertiary,Wajir
Roundabout,primary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Ruiru Bypass Roundabout,primary,Kiambu
Northern Bypass,primary,Kiambu
Limuru Road,trunk,Kiambu
Limuru Road,trunk,Kiambu
Limuru Road,trunk,Kiambu
Kalemunyang-Naipa Road,tertiary,Turkana
Makutano Juakali -Lityei road,unclassified,West Pokot
Jodongo Yuko B,unclassified,Siaya
Boyi C,unclassified,Siaya
Ongielo Road M1,residential,Siaya
Ongielo Road M2,residential,Siaya
Ongielo asembo bay road,residential,Siaya
Ongielo Asembo Bay Road,unclassified,Siaya
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Kilifi
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Kwale
Mombasa Road,trunk,Kilifi
Kalemunyang-Naipa Road,tertiary,Turkana
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Mombasa
Mombasa Road,trunk,Kajiado
Mombasa Road,trunk,Makueni
South Lake Road,primary,Nakuru
Nakwamoru-Naipa Road,tertiary,Turkana
Mombasa Road,trunk,Mombasa
Mombasa Road,trunk,Makueni
Mombasa Road,trunk,Taita Taveta
Mombasa Road,trunk,Kwale
Mombasa Road,trunk,Taita Taveta
Kalemunyang-Naipa Road,tertiary,Turkana
Kalemunyang-Naipa Road,tertiary,Turkana
Turkwel Gorge Dam-Nakwamoru Road,unclassified,West Pokot
Turkwel Gorge Dam-Nakwamoru Road,tertiary,West Pokot
Turkwel Gorge Dam-Nakwamoru Road,tertiary,Turkana
Turbo-Jua kali Road,trunk,Uasin Gishu
Turbo-Jua kali Road,trunk,Kakamega
Eldoret-Nakuru Road,trunk,Uasin Gishu
Eldoret-Nakuru Road,trunk,Baringo
Eldoret-Nakuru Road,trunk,Uasin Gishu
Nakuru - Eldoret Road,trunk,Nakuru
Eldoret - Nakuru Road,trunk,Uasin Gishu
Nakuru - Eldoret Road,trunk,Nakuru
A104,trunk,Busia
Nakuru - Eldoret Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Kericho
Nakuru - Eldoret Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Kericho
Nakuru - Eldoret Road,trunk,Baringo
Eldoret Road,trunk,Bungoma
Eldoret Road,trunk,Bungoma
Eldoret Road,trunk,Bungoma
Eldoret Road,trunk,Bungoma
Eldoret Road,trunk,Bungoma
Nakuru - Eldoret Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Nakuru
Nairobi Road,trunk,Nakuru
Eldoret-Malaba Road,trunk,Kakamega
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi - Nakuru Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Nakuru
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Nakuru - Eldoret Road,trunk,Nakuru
Nakuru - Eldoret Road,trunk,Nakuru
Eldoret - Nakuru Road,trunk,Uasin Gishu
Eldoret - Nakuru Road,trunk,Uasin Gishu
Eldoret - Nakuru Road,trunk,Uasin Gishu
Eldoret-Malaba Road,trunk,Kakamega
Nairobi - Nakuru Road,trunk,Kiambu
Nakuru - Eldoret Road,trunk,Nakuru
Nairobi-Nakuru Road,trunk,Nakuru
Nairobi-Nakuru Road,trunk,Nakuru
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Nakuru-Kisumu Road,trunk,Nakuru
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Waiyaki Way,trunk,Nairobi
Nyayo Stadium Roundabout,trunk,Nairobi
Kapenguria Office Road,unclassified,West Pokot
Nairobi-Nakuru Road,trunk,Kiambu
Uhuru Highway,trunk,Nairobi
Eldoret-Malaba Road,trunk,Kiambu
Waiyaki Way,trunk,Nairobi
Naivasha-Mai Mahiu-Limuru Rd.,trunk,Nakuru
Naivasha-Mai Mahiu-Limuru Rd.,trunk,Nakuru
Magadi Road,trunk,Kajiado
Magadi Road,trunk,Nairobi
Magadi Road,trunk,Nairobi
Magadi Road,trunk,Kajiado
Magadi Road,trunk,Nairobi
Magadi Road,trunk,Kajiado
Magadi Road,trunk,Kajiado
Magadi Road,trunk,Kajiado
Lopalal road,unclassified,West Pokot
Kamito-Kamayech Serowo Road,unclassified,West Pokot
Tukumo -Karas Road,unclassified,West Pokot
Kasowil -Tukumo -Karas Road,unclassified,West Pokot
Ahero-Miwani Rd.,primary,Kisumu
Juluk Road,unclassified,Turkana
Turkwel Kalemunyang Road,tertiary,Turkana
Turkwel Gorge Dam Road,secondary,West Pokot
Magadi Road,trunk,Kajiado
Turkwel Gorge Dam Road,secondary,West Pokot
Turkwel Gorge Dam-Nakwamoru Road,tertiary,West Pokot
Kalemunyang-Naipa Road,tertiary,Turkana
Turkwel Gorge Dam Road,secondary,West Pokot
Turkwel Gorge Dam Road,secondary,West Pokot
Kapenguria-Lodwar Road,trunk,Turkana
Chepareria-Chepkopegh Road,tertiary,West Pokot
Chepareria-Chepkopegh Road,tertiary,West Pokot
Katilu Road,tertiary,Turkana
Lokichar-Loperot Road,tertiary,Turkana
Kalandini-Wang' Arot Rd.,primary,Siaya
Kalandini-Wang' Arot Rd.,primary,Siaya
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Homa Bay
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Homa Bay
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Nyamira
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Nyamira
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Nyamira
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Nyamira
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Homa Bay
Kendu-Kandongo-Nyamira Rd,trunk,Homa Bay
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Nandi
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Nandi
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Nandi
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Nandi
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Store Pamba - Sosiot Rd.,primary,Kericho
Store Pamba - Sosiot Rd.,primary,Kisumu
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kisumu
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kisumu
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kisumu
Ekwanda-Holo Rd.,secondary,Kisumu
Ekwanda-Holo Rd.,secondary,Vihiga
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Nandi
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kisumu
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kisumu
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
2nd Drive,residential,Kajiado
Kangawa Road,residential,Kajiado
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Muriri-Miciimikuru Road,tertiary,Meru
Muriri-Miciimikuru Road,tertiary,Isiolo
Kapenguria-Lodwar Road,trunk,Turkana
Kapenguria-Lodwar Road,trunk,Turkana
Olkeri Road,residential,Kajiado
Kigwa Road,tertiary,Nairobi
Mirema Drive,tertiary,Nairobi
Mirema Drive,tertiary,Nairobi
Mirema Drive,tertiary,Nairobi
Mirema Drive,tertiary,Nairobi
Marurui Road,tertiary,Nairobi
Marurui Road,tertiary,Nairobi
Mirema Drive,tertiary,Nairobi
9th Drive,residential,Kajiado
Ogal-Kisian Road,secondary,Kisumu
Ekwanda-Luanda Road,primary,Vihiga
Ekwanda-Luanda Road,primary,Vihiga
Ekwanda-Luanda Road,primary,Vihiga
Ogal-Kisian Road,secondary,Kisumu
Napetet Road,secondary,Turkana
Napetet Road,secondary,Turkana
Table mountain summit trail,footway,Nyandarua
Kipipiri summit trail,footway,Nyandarua
Napetet Road,secondary,Turkana
Chiga-Ombeyi-Kibigori,primary,Kisumu
Chiga-Ombeyi-Kibigori,primary,Kisumu
Chiga-Ombeyi-Kibigori,primary,Kisumu
Rurimeria summit trail,footway,Nyandarua
Rurimeria summit trail,footway,Nyeri
Narok- Mau Narok - Njoro,trunk,Nakuru
Kangundo Road,trunk,Nairobi
Eastleigh 1st Avenue,secondary,Nairobi
First Avenue Eastleigh,secondary,Nairobi
First Avenue Eastleigh,secondary,Nairobi
Mirema Road,tertiary,Nairobi
Prof. Wangari Maathai Road,primary,Nairobi
Narayan Road,primary,Nairobi
Parklands Road,primary,Nairobi
Narayan Road,primary_link,Nairobi
Prof. Wangari Maathai Road,primary,Nairobi
Kisumu-Busia Road,trunk,Siaya
Kisumu-Busia Road,trunk,Kakamega
Kisumu-Busia Road,trunk,Siaya
Kisumu-Busia Road,trunk,Siaya
Kisumu-Busia Road,trunk,Siaya
Kisumu-Busia Road,trunk,Busia
Kisumu-Busia Road,trunk,Siaya
Kericho-Kisumu Highway,trunk,Kericho
Kericho-Kisumu Highway,trunk,Kericho
Kisumu-Busia Road,trunk,Siaya
Kisumu - Busia Road,trunk,Nakuru
