country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_206,Matungu Sub County,ssbO49f0iLN
Kenya,KEN_1_4,Central,KEN_2_21,Muranga,KEN_3_110,Gatanga Sub County,Z7ALMtFNfeZ
Kenya,KEN_1_5,Rift Valley,KEN_2_29,Nandi,KEN_3_152,Aldai Sub County,Sq2fLWnOCGg
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_267,Nyaribari Chache  Sub County,fFh3beH29fD
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_114,Thika Town Sub County,YZAZ1a9MIvX
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_171,Kuresoi North  Sub County,QBwORnYdu0e
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_242,Nyando Sub County,iRK9uABUTVZ
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_230,Samia Sub County,NHRktMsAkO1
Kenya,KEN_1_7,Nyanza,KEN_2_41,Siaya,KEN_3_234,Alego Usonga Sub County,Cu46otDi1RO
Kenya,KEN_1_5,Rift Valley,KEN_2_29,Nandi,KEN_3_154,Chesumei Sub County,xLWuQq3DjOR
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_239,Kisumu West Sub County,YzEDO9Mq4TR
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_158,Baringo North Sub County,bqtTmWcikTN
Kenya,KEN_1_5,Rift Valley,KEN_2_33,Narok,KEN_3_179,Narok North Sub County,fNROL0qm8De
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_257,Uriri Sub County,fCInDXluNhx
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,KEN_3_97,Nyeri South Sub County,dd7jowvUO95
Kenya,KEN_1_4,Central,KEN_2_20,Kirinyaga,KEN_3_100,Kirinyaga North/Mwea West Sub County,f6EOn3xI9YH
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_204,Mumias West  Sub County,uRl5fBkhpcE
Kenya,KEN_1_1,Coast,KEN_2_5,Lamu,KEN_3_21,LAMU EAST,cwnqFyTJIgX
Kenya,KEN_1_2,North Eastern,KEN_2_7,Garissa,KEN_3_32,Ijara Sub County,l5E6PiIUs1J
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_247,Karachuonyo Sub County,fmsyW02tPng
Kenya,KEN_1_5,Rift Valley,KEN_2_26,Turkana,,Kibish Sub County,AXNntZ7T30a
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_255,Suna East Sub County,nHEr5EciFh0
