country,province,county,Subcounty,longitude,latitude,dist_to_busia_km,dist_to_malaba_km,dist_to_lwakhakha_km,dist_to_suam_km,dist_to_laikipia_airbase_km,County,Total,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count,District Hospital,Health Centre,National Referral Hospital,Provincial General Hospital,raw_healthcare_capacity
Kenya,Western,Kakamega,Khwisero,34.579474357505454,0.145479286554913,62.80284967673816,64.20565299393014,75.74135099483132,120.6694091523542,272.05353497458844,Kakamega,113476.0,144.41635742,Khwisero,0.14643576,34.58160359,POINT (676014.8154517105 16191.76181246372),247.7235055242051,63.72970720795158,0.0,Kakamega,179.0,0.0,10.0,0.0,0.0,47.0
Kenya,North Eastern,Garissa,Fafi,40.41104429994281,-0.6693498941710406,711.408216946738,697.5530524866447,690.3544060394962,665.5397975118708,385.0615733131956,Garissa,134040.0,16583.39556049,Fafi,-0.78190234,40.43502257,POINT (1329601.8230538326 -87161.4555095466),423.90633204069246,705.9170027796329,0.0,Garissa,66.0,1.0,5.0,0.0,0.0,37.0
Kenya,Coast,Kilifi,Magarini,39.73511213327426,-2.903460577888896,728.4887010089382,723.3667438420428,723.774334374793,720.8299966344424,445.9979114059265,Kilifi,191610.0,6977.00857145,Magarini,-2.82928574,39.80753064,POINT (1258380.2183921984 -314955.46327944763),483.335488153283,727.1056764471144,0.0,Kilifi,248.0,0.0,2.0,0.0,0.0,38.0
Kenya,Nyanza,Siaya,Ugunja,34.33632255570417,0.1920842106347948,39.21320167077383,49.84091795885013,67.32164653036163,122.44925317436396,299.2944924511541,Siaya,104241.0,199.17755302,Ugunja,0.2070586,34.3402606,POINT (649150.175374228 22892.50268385332),274.1963687332561,47.40937245655393,0.0,Siaya,615.0,0.0,3.0,0.0,0.0,29.0
Kenya,Rift Valley,Elgeyo-Marakwet,Keiyo South,35.58688917276641,0.3546833405463853,164.1664064857279,149.1884729487918,143.1174444303944,135.2965171297609,163.30431494735657,Elgeyo Marakwet,120750.0,886.31159151,Keiyo South,0.37935425,35.57177296,POINT (786264.4913561231 41972.60765319999),137.16575455477758,147.56125271832596,0.0,Elgeyo-Marakwet,48.0,0.0,5.0,0.0,0.0,61.0
Kenya,Eastern,Embu,Manyatta,37.457525319167935,-0.3965216944336675,383.88668843896346,372.03729618796166,367.2227681937967,352.40240163536845,69.48344904148674,,,358.12934808,Manyatta,-0.37145568,37.44821558,POINT (995465.9860730546 -41181.89953401817),103.76365869629952,371.08176431269055,0.0,Embu,66.0,0.0,5.0,0.0,1.0,114.0
Kenya,Central,Kirinyaga,Kirinyaga West,37.20390699960981,-0.5648686180418026,362.13458241085925,351.9895454608851,348.781960402272,339.068915637209,71.64064087277268,Kirinyaga,114660.0,,,,,,,,,,,0.0,6.0,0.0,0.0,69.0
Kenya,Rift Valley,Nandi,Tinderet,35.25173175525386,-0.0235124187934117,137.6675912300615,131.05234529958133,133.22402804684256,149.88763166966862,197.2995568065944,Nandi,115931.0,541.6892369,Tinderet,-0.00821077,35.26049585,POINT (751602.3099091572 -908.2483257416008),174.91347507784386,130.92096554738586,0.0,Nandi,45.0,0.0,2.0,0.0,0.0,24.0
Kenya,Coast,Taita Taveta,Voi,38.780039940361206,-3.4863760593762096,679.710012407154,678.8253587740018,682.7368402127689,690.177709577677,439.3547633325405,Taita Taveta,111831.0,8581.29248601,Voi,-3.33802243,38.79424364,POINT (1144767.5072491074 -370859.21290162165),460.8728893638855,668.9592049772413,0.0,Taita Taveta,282.0,1.0,6.0,0.0,0.0,50.0
Kenya,North Eastern,Mandera,Mandera East,41.60375472484237,3.723160506175908,907.4639719508572,883.6307309939523,866.246536152246,812.5572136015694,652.2129072603713,Mandera,159638.0,2551.35587059,Mandera East,3.68396832,41.50129619,POINT (1447517.2618409933 411736.81456044747),646.7031029709619,875.7698281371901,0.0,Mandera,29.0,1.0,3.0,0.0,0.0,69.0
Kenya,Coast,Taita Taveta,Taveta,37.94571194092585,-3.4969732565018465,612.7723485334603,614.5184402941707,620.5776549611895,634.6076446931634,407.89715887369374,Taita Taveta,91222.0,4007.26942629,Taveta,-3.43898577,37.85891485,POINT (1040356.1879979814 -381492.7482095944),430.9687078318102,602.2946424852588,0.0,Taita Taveta,282.0,1.0,2.0,0.0,0.0,23.0
Kenya,North Eastern,Wajir,Wajir East,40.66473846800285,1.948276701799555,746.5602868133592,725.140931484977,710.5093376732796,664.4535510183243,456.2444864367368,Wajir,110654.0,4279.58031917,Wajir East,2.00619507,40.7082978,POINT (1359827.166949199 223779.88625456335),476.4387769935582,734.8501940684328,0.0,Wajir,233.0,1.0,2.0,0.0,0.0,88.0
Kenya,Eastern,Marsabit,Moyale,38.82571736320858,3.1332377413166976,601.6846546434591,576.9187693289244,558.417413863675,502.2043464546867,396.6367345890288,Marsabit,108949.0,9343.76584728,Moyale,2.90294072,38.84777847,POINT (1151014.9175371802 322551.9014535994),368.27626460973926,568.9861792756092,0.0,Marsabit,97.0,1.0,2.0,0.0,0.0,49.0
