Subcounty,adm2_pcode,adm1_name,adm1_pcode,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count
Nambale,KE040227,Busia,KE040,232.33592381,Nambale,0.50463793,34.35705247,POINT (651014.3585743934 55793.421608389915),273.07072596423353,16.910713308437664,0.0,Busia,485
Nandi Hills,KE029153,Nandi,KE029,393.07995608,Nandi Hills,0.12210157,35.24514002,POINT (749891.6982297258 13506.330199938391),174.37914757757196,122.22742858202923,0.0,Nandi,45
Narok East,KE033180,Narok,KE033,2046.7679606,Narok East,-1.1558466,36.13955862,POINT (849459.6194945839 -127949.2344285871),177.22886136896824,286.99658654758343,0.0,Narok,132
Narok North,KE033179,Narok,KE033,2723.42562322,Narok North,-0.84151264,35.95158797,POINT (828548.9215732773 -93136.86883764509),157.85716717886265,248.1002468423595,0.0,Narok,132
Narok South,KE033181,Narok,KE033,4831.42004724,Narok South,-1.35899454,35.76967649,POINT (808230.2796180483 -150386.80449321112),216.6170918324873,276.1792295786249,0.0,Narok,132
Narok West,KE033182,Narok,KE033,5446.62878001,Narok West,-1.32263917,35.32111825,POINT (758285.0507266249 -146312.4397924487),243.75676515283985,245.60243326129927,0.0,Narok,132
Navakholo,KE037203,Kakamega,KE037,257.41824212,Navakholo,0.38969336,34.65756123,POINT (684466.7310474745 43090.983713691654),238.88828392808784,50.664389507585774,0.0,Kakamega,179
Ndaragwa,KE018093,Nyandarua,KE018,874.08576967,Ndaragwa,-0.0801936,36.49023185,POINT (888617.0819036923 -8880.384866190368),54.46216883466319,259.464609626652,0.0,Nyandarua,91
Ndhiwa,KE043250,Homa Bay,KE043,695.40308063,Ndhiwa,-0.71250394,34.38417881,POINT (654027.6960019402 -78776.27372431305),291.5023307993511,148.9702477293124,0.0,Homa Bay,195
Ndia,KE020102,Kirinyaga,KE020,338.3891408,Ndia,-0.46760135,37.19901435,POINT (967651.2888362857 -51824.05226801651),95.99405971452732,348.20510990707294,0.0,Kirinyaga,24
Nithi,KE013060,Tharaka-Nithi,KE013,598.15907511,Nithi,-0.30065671,37.54491998,POINT (1006263.6465181652 -33337.13687965605),106.48546013758148,379.1948473908956,0.0,Tharaka-Nithi,59
Njoro,KE032167,Nakuru,KE032,782.5006151,Njoro,-0.49559787,35.95796931,POINT (829282.9635502654 -54852.03999452746),128.72529994930795,225.45562419387983,0.0,Nakuru,649
