Subcounty,Blood Bank,Dental Clinic,Dispensary,District Health Office,District Hospital,Eye Centre,Eye Clinic,Funeral Home (Stand-alone),Health Centre,Health Programme,Health Project,Laboratory (Stand-alone),Maternity Home,Medical Centre,Medical Clinic,National Referral Hospital,Not in List,Nursing Home,Other Hospital,Provincial General Hospital,Radiology Unit,Regional Blood Transfusion Centre,Rural Health Training Centre,Sub-District Hospital,Training Institution in Health (Stand-alone),VCT Centre (Stand-Alone),raw_healthcare_capacity
Teso North,0,0,10,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,29
Teso South,0,0,11,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27
Tetu,0,0,15,0,0,0,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,51
Tharaka North,0,0,7,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16
Tharaka South,0,0,10,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,38
Thika East,0,0,10,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,27
Thika West,0,0,15,0,0,0,0,0,4,0,0,0,0,1,62,0,0,1,7,1,0,0,0,0,0,4,147
Tigania East,0,0,13,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,43
Tigania West,0,0,16,0,1,0,0,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,50
Tinderet,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
Trans Mara East,0,0,18,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27
Trans Mara West - Dikirr,0,0,28,0,1,0,0,0,5,0,0,0,1,0,4,0,0,0,2,0,0,0,0,1,0,1,74
Trans Nzoia East,0,0,10,0,1,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37
Trans Nzoia West,0,4,27,0,1,0,1,0,5,1,0,1,0,0,45,0,3,2,6,0,1,0,0,1,0,2,142
Tseikuru,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22
Turkana Central,0,0,28,0,1,0,0,0,3,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,58
Turkana East,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27
Turkana North,0,0,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Turkana South,0,0,21,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Turkana West,0,0,13,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,2,0,0,0,0,1,0,0,48
Ugenya,0,0,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24
Ugunja,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,29
Uriri,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30
Vihiga,0,0,6,0,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31
Voi,0,0,10,0,1,0,0,0,6,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,50
Wajir East,0,0,13,0,1,0,0,0,2,0,0,0,0,1,33,0,0,3,1,0,0,0,0,2,0,0,88
Wajir North,0,0,5,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28
Wajir South,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,31
Wajir West,0,0,15,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Wareng,0,0,29,0,0,0,0,0,7,0,0,0,0,0,11,0,0,1,2,0,0,0,0,0,0,0,76
West Pokot,0,0,36,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,64
Westlands,0,0,10,0,0,0,0,0,4,2,2,1,1,2,36,0,0,0,5,0,0,0,0,0,1,0,101
Wundanyi,0,0,6,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,31
Yatta,0,0,22,0,1,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,60
